DEP	AR	CT	COM	LEG	JO	EFF	DTR	MOD	C-LOFF	C-LANC	NBCOM	RANGCOM	COMECH	POPECH	SUECH	DEPANC	ARRANC	CTANC	TNCCOFF	NCCOFF	TNCCANC	NCCANC
51	2	18	381	A20-08-1973	13-09-1973	01-09-1973	01-09-1973	11											0	Montmort-Lucy	0	Montmort
51	2	18	381	A20-08-1973	13-09-1973	01-09-1973	01-09-1973	34			1	1	51332						0	Montmort-Lucy		
51			383	A30-09-1976	04-11-1976	01-01-1977	01-01-1977	33					51158						0	Morains		
51			385	D14-06-1950	16-06-1950	17-06-1950	17-06-1950	30			3	1	51440						0	Moronvilliers		
51			385	D14-06-1950	16-06-1950	17-06-1950	17-06-1950	30			3	2	51487						0	Moronvilliers		
51			385	D14-06-1950	16-06-1950	17-06-1950	17-06-1950	30			3	3	51503						0	Moronvilliers		
51	2	03	392	A12-12-2005		01-01-2006	01-01-2006	42									513		0	Mutigny		
51	3	07	393	D08-02-1974	12-02-1974	13-02-1974	13-02-1974	10											0	Nanteuil-la-Forêt	0	Nanteuil-la-Fosse
51			394	D14-06-1950	16-06-1950	17-06-1950	17-06-1950	31					51046						0	Nauroy		
51			400	A05-06-1973	19-02-1974	01-07-1973	01-07-1973	31					51017						0	Neuville-sous-Arzillières		
51			401	A02-11-1970	28-11-1970	30-12-1970	30-12-1970	31					51454						3	Neuvillette		
51			405	A10-11-1972	06-12-1972	01-01-1973	01-01-1973	33					51248						0	Normée		
51			408	A15-12-1968	19-11-1969	01-01-1969	01-01-1969	31					51277						0	Nuisement-aux-Bois		
51	2	18	416	D21-06-1988	24-06-1988	25-06-1988	25-06-1988	10											1	Orbais-l'Abbaye	0	Orbais
51	2	18	416					10											0	Orbais	1	Orbais-l'Abbaye
51			427	D14-06-1950	16-06-1950	17-06-1950	17-06-1950	31					51553						0	Perthes-lès-Hurlus		
51	3	04	440	D14-06-1950	16-06-1950	17-06-1950	17-06-1950	10											0	Pontfaverger-Moronvilliers	0	Pontfaverger
51	3	04	440	D14-06-1950	16-06-1950	17-06-1950	17-06-1950	39					51385						0	Pontfaverger-Moronvilliers		
51	3	99	454	A02-11-1970	28-11-1970	30-12-1970	30-12-1970	32			1	1	51401						0	Reims		
51			462	D14-06-1950	16-06-1950	17-06-1950	17-06-1950	31					51470						0	Ripont		
51	2	03	465	A12-12-2005		01-01-2006	01-01-2006	42									513		0	Romery		
51			467	A10-11-1964	30-12-1964	01-01-1965	01-01-1965	31					51218						0	Rosay		
51	5	32	470	D14-06-1950	16-06-1950	17-06-1950	17-06-1950	11											0	Rouvroy-Ripont	0	Rouvroy
51	5	32	470	D14-06-1950	16-06-1950	17-06-1950	17-06-1950	32			1	1	51462						0	Rouvroy-Ripont		
51	4	33	472	D27-03-1961	01-04-1961	02-04-1961	02-04-1961	10											0	Saint-Amand-sur-Fion	0	Saint-Amand
51			481	A16-06-1966	19-10-1966	01-07-1966	01-07-1966	31					51071						0	Saint-Genest		
51	3	04	487	D14-06-1950	16-06-1950	17-06-1950	17-06-1950	39					51385						0	Saint-Hilaire-le-Petit		
51	2	03	488	A12-12-2005		01-01-2006	01-01-2006	42									513		0	Saint-Imoges		
51			494	D26-12-1974	29-12-1974	01-01-1975	01-01-1975	33					52182						0	Sainte-Livière		
51	3	04	503	D14-06-1950	16-06-1950	17-06-1950	17-06-1950	39					51385						0	Saint-Martin-l'Heureux		
51	3	04	517	D27-03-1961	01-04-1961	02-04-1961	02-04-1961	10											0	Saint-Souplet-sur-Py	0	Saint-Souplet
51	5	08	537	A15-03-1967	15-04-1967	16-04-1967	16-04-1967	11											0	Sivry-Ante	0	Sivry-sur-Ante
51	5	08	537	A15-03-1967	15-04-1967	16-04-1967	16-04-1967	32			1	1	51011						0	Sivry-Ante		
51			540	A22-12-1967A27-12-1967	12-01-1968	01-01-1968	01-01-1968	31					51264						0	Soigny		
51			541	A20-12-1968	12-02-1969	01-01-1969	01-01-1969	31					51217						0	Soilly		
51	5	32	544	D14-06-1950	16-06-1950	17-06-1950	17-06-1950	11											0	Sommepy-Tahure	0	Sommepy
51	5	32	544	D14-06-1950	16-06-1950	17-06-1950	17-06-1950	32			1	1	51561						0	Sommepy-Tahure		
51	1	27	553	D14-06-1950	16-06-1950	17-06-1950	17-06-1950	11											0	Souain-Perthes-lès-Hurlus	0	Souain
51	1	27	553	D14-06-1950	16-06-1950	17-06-1950	17-06-1950	32			1	1	51427						0	Souain-Perthes-lès-Hurlus		
51			554	A18-01-1965	17-02-1965	01-02-1965	01-02-1965	31					51555						0	Soudé-Notre-Dame-ou-le-Petit		
51	4	26	555	A18-01-1965	17-02-1965	01-02-1965	01-02-1965	11											0	Soudé	0	Soudé-Sainte-Croix-ou-le-Grand
51	4	26	555	A18-01-1965	17-02-1965	01-02-1965	01-02-1965	32			1	1	51554						0	Soudé		
51			561	D14-06-1950	16-06-1950	17-06-1950	17-06-1950	31					51544						0	Tahure		
51	2	03	564	A12-12-2005		01-01-2006	01-01-2006	42									513		0	Tauxières-Mutry		
51	3	30	571	A15-09-1964	30-12-1964	01-01-1965	01-01-1965	11											0	Val-de-Vesle	0	Thuisy
51	3	30	571	A15-09-1964	30-12-1964	01-01-1965	01-01-1965	32			2	1	51189						0	Val-de-Vesle		
51	3	30	571	A15-09-1964	30-12-1964	01-01-1965	01-01-1965	32			2	2	51661						0	Val-de-Vesle		
51			575	A21-08-1973	13-09-1973	01-09-1973	01-09-1973	33					51611						0	Toulon-la-Montagne		
